,Date,HE,Area,MW
430,1/19/2023,5,RTO,3178.462
431,1/19/2023,6,RTO,3635.143
432,1/19/2023,7,RTO,3674.022
433,1/19/2023,8,RTO,3538.243
434,1/19/2023,9,RTO,3901.507
435,1/19/2023,10,RTO,4033.542
436,1/19/2023,11,RTO,4098.726
437,1/19/2023,12,RTO,4604.599
438,1/19/2023,13,RTO,5153.815
439,1/19/2023,14,RTO,6263.256
440,1/19/2023,15,RTO,7544.229
441,1/19/2023,16,RTO,7899.969
442,1/19/2023,17,RTO,8499.854
443,1/19/2023,18,RTO,8382.704
444,1/19/2023,19,RTO,8491.834
445,1/19/2023,20,RTO,8447.865
446,1/19/2023,21,RTO,8615.541
447,1/19/2023,22,RTO,9077.162
448,1/19/2023,23,RTO,9203.855
449,1/19/2023,24,RTO,9285.759
450,1/20/2023,1,RTO,9372.868
451,1/20/2023,2,RTO,9205.496
452,1/20/2023,3,RTO,9108.688
453,1/20/2023,4,RTO,9049.248
454,1/20/2023,5,RTO,8922.876
455,1/20/2023,6,RTO,8881.586
456,1/20/2023,7,RTO,8775.775
457,1/20/2023,8,RTO,8764.954
458,1/20/2023,9,RTO,8564.632
459,1/20/2023,10,RTO,8315.929
460,1/20/2023,11,RTO,8199.488
461,1/20/2023,12,RTO,8328.225
462,1/20/2023,13,RTO,8192.742
463,1/20/2023,14,RTO,7584.669
464,1/20/2023,15,RTO,7407.209
465,1/20/2023,16,RTO,7211.652
466,1/20/2023,17,RTO,6740.645
467,1/20/2023,18,RTO,5984.436
468,1/20/2023,19,RTO,5345.05
469,1/20/2023,20,RTO,4628.553
470,1/20/2023,21,RTO,3784.795
471,1/20/2023,22,RTO,3037.656
472,1/20/2023,23,RTO,2470.479
473,1/20/2023,24,RTO,2025.667
474,1/21/2023,1,RTO,1852.9
475,1/21/2023,2,RTO,1747.205
476,1/21/2023,3,RTO,1706.644
477,1/21/2023,4,RTO,1551.326
478,1/21/2023,5,RTO,1555.124
479,1/21/2023,6,RTO,1502.578
480,1/21/2023,7,RTO,1418.223
481,1/21/2023,8,RTO,1373.919
482,1/21/2023,9,RTO,1181.284
483,1/21/2023,10,RTO,933.25
484,1/21/2023,11,RTO,788.878
485,1/21/2023,13,RTO,633.109
486,1/21/2023,14,RTO,572.272
487,1/21/2023,15,RTO,611.532
488,1/21/2023,16,RTO,577.767
489,1/21/2023,17,RTO,379.092
490,1/21/2023,18,RTO,216.196
491,1/21/2023,19,RTO,138.238
492,1/21/2023,20,RTO,191.685
493,1/21/2023,21,RTO,331.69
494,1/21/2023,22,RTO,709.789
495,1/21/2023,23,RTO,985.319
