,Date,HE,MW
410,1/18/2023,9,1833.460948
411,1/18/2023,10,1948.248419
412,1/18/2023,11,1611.137394
413,1/18/2023,12,1480.304953
414,1/18/2023,13,2738.134412
415,1/18/2023,14,3034.73435
416,1/18/2023,15,3286.202764
417,1/18/2023,16,5145.429441
418,1/18/2023,17,4494.600201
419,1/18/2023,18,4374.835221
420,1/18/2023,19,6271.339169
421,1/18/2023,20,7153.822182
422,1/18/2023,21,6918.615793
423,1/18/2023,22,6560.704102
424,1/18/2023,23,6934.086779
425,1/18/2023,24,6998.801841
426,1/19/2023,1,6800.536234
427,1/19/2023,2,4659.431298
428,1/19/2023,3,4913.919861
429,1/19/2023,4,3146.007948
430,1/19/2023,5,3862.293377
431,1/19/2023,6,3472.708117
432,1/19/2023,7,3387.083594
433,1/19/2023,8,2910.614456
434,1/19/2023,9,3970.069585
435,1/19/2023,10,3798.826891
436,1/19/2023,11,4602.258534
437,1/19/2023,12,3739.046673
438,1/19/2023,13,3810.676017
439,1/19/2023,14,6563.673875
440,1/19/2023,15,6606.00337
441,1/19/2023,16,8843.74988
442,1/19/2023,17,8111.706839
443,1/19/2023,18,7681.935531
444,1/19/2023,19,8296.383631
445,1/19/2023,20,8394.920943
446,1/19/2023,21,7389.52221
447,1/19/2023,22,8772.485995
448,1/19/2023,23,7619.454857
449,1/19/2023,24,8544.812777
450,1/20/2023,1,8986.274624
451,1/20/2023,2,8125.994907
452,1/20/2023,3,8857.777335
453,1/20/2023,4,9741.233844
454,1/20/2023,5,9224.705865
455,1/20/2023,6,8523.404936
456,1/20/2023,7,8719.80061
457,1/20/2023,8,8706.927051
458,1/20/2023,9,8021.64348
459,1/20/2023,10,7609.895296
460,1/20/2023,11,7205.198124
461,1/20/2023,12,8094.36735
462,1/20/2023,13,9659.796195
463,1/20/2023,14,6654.278918
464,1/20/2023,15,7777.508169
465,1/20/2023,16,6419.305819
466,1/20/2023,17,5324.479228
467,1/20/2023,18,6177.454639
468,1/20/2023,19,5523.370157
469,1/20/2023,20,4278.702258
470,1/20/2023,21,2847.491778
471,1/20/2023,22,2405.735155
472,1/20/2023,23,3601.884758
473,1/20/2023,24,1189.455656
474,1/21/2023,1,1718.3422
475,1/21/2023,2,2367.33837
476,1/21/2023,3,1434.252018
477,1/21/2023,4,1818.700556
478,1/21/2023,5,2106.051313
479,1/21/2023,6,2535.11848
480,1/21/2023,7,928.9012631
481,1/21/2023,8,2046.411482
482,1/21/2023,9,1018.244197
483,1/21/2023,10,1066.212083
484,1/21/2023,11,165.803931
485,1/21/2023,12,328.0025189
486,1/21/2023,13,356.526245
487,1/21/2023,14,179.7141323
488,1/21/2023,15,-14.32581657
489,1/21/2023,16,1456.184061
490,1/21/2023,17,912.5318133
491,1/21/2023,18,503.030086
492,1/21/2023,19,764.3084957
493,1/21/2023,20,-2.774716261
494,1/21/2023,21,-861.2092911
495,1/21/2023,22,2359.559725
496,1/21/2023,23,1369.325594
497,1/21/2023,24,845.434004
498,1/22/2023,1,891.8588893
499,1/22/2023,2,1240.343017
500,1/22/2023,3,-420.1503979
501,1/22/2023,4,27.82763463
502,1/22/2023,5,763.4322489
503,1/22/2023,6,521.5727116
504,1/22/2023,7,1599.657688
505,1/22/2023,8,1308.858826
506,1/22/2023,9,938.9613079
507,1/22/2023,10,658.8586971
508,1/22/2023,11,2299.666475
509,1/22/2023,12,1053.922398
510,1/22/2023,13,1242.301486
511,1/22/2023,14,1161.737757
512,1/22/2023,15,522.2380943
513,1/22/2023,16,2227.615763
514,1/22/2023,17,723.3126892
515,1/22/2023,18,677.5977217
516,1/22/2023,19,360.6409852
517,1/22/2023,20,754.0311191
518,1/22/2023,21,209.5750791
519,1/22/2023,22,-288.5070247
520,1/22/2023,23,1754.280648
521,1/22/2023,24,879.7362298
522,1/23/2023,1,2897.994106
523,1/23/2023,2,1782.308266
524,1/23/2023,4,3539.023017
525,1/23/2023,5,3453.960461
526,1/23/2023,6,3476.636345
527,1/23/2023,7,1743.620845
528,1/23/2023,8,2286.29344
529,1/23/2023,9,3286.363893
530,1/23/2023,10,2991.009759
531,1/23/2023,11,3771.822461
532,1/23/2023,12,4855.965733
533,1/23/2023,13,3607.572991
534,1/23/2023,14,4254.102109
535,1/23/2023,15,5183.787419
536,1/23/2023,16,5813.833206
537,1/23/2023,17,5154.968329
538,1/23/2023,18,6732.458817
539,1/23/2023,19,7664.24863
540,1/23/2023,20,7683.294768
541,1/23/2023,21,7400.7502
542,1/23/2023,22,6104.147099
543,1/23/2023,23,7225.070877
544,1/23/2023,24,6690.091048
545,1/24/2023,1,6661.77728
546,1/24/2023,2,4495.502335
547,1/24/2023,3,4218.330868
548,1/24/2023,4,3353.454232
549,1/24/2023,5,3594.02588
550,1/24/2023,6,3242.105113
551,1/24/2023,7,2863.144322
552,1/24/2023,8,1524.619657
553,1/24/2023,9,1935.615205
554,1/24/2023,10,1232.258866
555,1/24/2023,11,1795.121618
556,1/24/2023,12,1591.040748
557,1/24/2023,13,701.108051
558,1/24/2023,14,1422.706301
559,1/24/2023,15,-438.9938784
560,1/24/2023,16,-340.4207047
561,1/24/2023,17,535.7491903
562,1/24/2023,18,-587.2021862
563,1/24/2023,19,348.8663652
564,1/24/2023,20,-574.8690203
565,1/24/2023,21,419.878685
566,1/24/2023,22,-1326.276868
567,1/24/2023,23,335.0290426
568,1/24/2023,24,1303.342351
569,1/25/2023,1,1843.73754
570,1/25/2023,2,1108.171981
571,1/25/2023,3,1802.308762
572,1/25/2023,4,2684.024781
573,1/25/2023,5,2336.316418
574,1/25/2023,6,2960.996456
575,1/25/2023,7,4690.969328
576,1/25/2023,8,2499.089847
577,1/25/2023,9,4616.563617
578,1/25/2023,10,5176.067979
579,1/25/2023,11,5022.614013
580,1/25/2023,12,4190.036952
581,1/25/2023,13,3816.668537
582,1/25/2023,14,4939.581314
583,1/25/2023,15,4453.832016
584,1/25/2023,17,5323.43298
585,1/25/2023,18,4792.244001
586,1/25/2023,19,5353.620519
587,1/25/2023,20,3891.694614
588,1/25/2023,21,3310.548777
589,1/25/2023,22,5479.879077
590,1/25/2023,23,5813.612773
591,1/25/2023,24,5635.226325
592,1/26/2023,1,6783.339698
593,1/26/2023,2,5483.094221
594,1/26/2023,3,4946.126038
595,1/26/2023,4,5873.051904
596,1/26/2023,5,7169.505564
597,1/26/2023,6,7738.484596
598,1/26/2023,7,7107.676242
599,1/26/2023,8,7071.169949
600,1/26/2023,9,8327.846948
601,1/26/2023,10,9171.633521
602,1/26/2023,11,8639.777704
603,1/26/2023,12,8588.142971
604,1/26/2023,13,8604.082184
605,1/26/2023,14,8523.204706
606,1/26/2023,15,7003.113565
607,1/26/2023,16,8187.751279
608,1/26/2023,17,7057.222948
609,1/26/2023,18,6056.419941
610,1/26/2023,19,4766.883607
611,1/26/2023,20,6969.10935
612,1/26/2023,21,6281.011844
613,1/26/2023,22,6574.138314
614,1/26/2023,23,4113.588045
615,1/26/2023,24,5376.54904
616,1/27/2023,1,4454.962177
617,1/27/2023,2,3874.539362
618,1/27/2023,3,5138.534019
619,1/27/2023,4,5810.591417
620,1/27/2023,5,3837.266639
621,1/27/2023,6,5558.688608
622,1/27/2023,7,6706.987749
623,1/27/2023,8,7570.484487
624,1/27/2023,9,7432.118987
625,1/27/2023,10,8870.015154
626,1/27/2023,11,7396.312951
627,1/27/2023,12,8513.968746
628,1/27/2023,13,8216.084733
629,1/27/2023,14,8138.54307
630,1/27/2023,15,6951.291751
631,1/27/2023,16,7948.535941
632,1/27/2023,17,8845.263288
633,1/27/2023,18,8812.838071
634,1/27/2023,19,8167.308902
635,1/27/2023,20,7266.772218
636,1/27/2023,21,7627.403637
637,1/27/2023,22,8173.651881
638,1/27/2023,23,7194.070671
639,1/27/2023,24,8530.808791
640,1/28/2023,1,8482.695125
641,1/28/2023,2,7897.764368
642,1/28/2023,3,3265.772559
643,1/28/2023,4,3306.519639
644,1/28/2023,5,3505.583892
645,1/28/2023,6,1790.597231
646,1/28/2023,7,2054.142856
647,1/28/2023,8,3144.591116
648,1/28/2023,9,2498.21268
649,1/28/2023,10,1351.295377
650,1/28/2023,11,2351.670842
651,1/28/2023,12,1893.977889
652,1/28/2023,13,2520.256367
653,1/28/2023,14,2233.381782
654,1/28/2023,15,3034.231466
655,1/28/2023,16,3060.060657
656,1/28/2023,17,3479.095857
657,1/28/2023,18,2875.13435
658,1/28/2023,19,2845.257475
659,1/28/2023,20,3817.18281
660,1/28/2023,21,5125.79891
661,1/28/2023,22,1806.284346
662,1/28/2023,23,2767.530816
663,1/28/2023,24,4083.601515
664,1/29/2023,1,4903.860032
665,1/29/2023,2,3657.537554
666,1/29/2023,3,3887.093859
667,1/29/2023,4,4182.774595
668,1/29/2023,5,4389.012429
669,1/29/2023,6,4321.948148
670,1/29/2023,7,4310.951659
671,1/29/2023,8,3544.39957
672,1/29/2023,9,4089.181805
673,1/29/2023,10,4108.78152
674,1/29/2023,11,4461.259881
675,1/29/2023,12,2254.390038
676,1/29/2023,13,3256.143026
677,1/29/2023,14,2199.823687
678,1/29/2023,15,1731.066719
679,1/29/2023,16,1495.994119
680,1/29/2023,17,1930.722675
681,1/29/2023,18,2194.496526
682,1/29/2023,19,2050.033343
683,1/29/2023,20,1815.90935
684,1/29/2023,21,1712.605474
685,1/29/2023,22,1480.169823
686,1/29/2023,23,2006.485926
687,1/29/2023,24,1468.311514
688,1/30/2023,1,2696.473356
689,1/30/2023,2,2611.026929
690,1/30/2023,3,2399.57053
691,1/30/2023,4,2656.109176
692,1/30/2023,5,3887.836764
693,1/30/2023,6,1468.403582
694,1/30/2023,7,2714.114375
695,1/30/2023,8,3420.363902
696,1/30/2023,9,2413.83309
697,1/30/2023,10,4060.672208
698,1/30/2023,11,2322.532119
699,1/30/2023,12,1974.848544
700,1/30/2023,13,1602.090297
701,1/30/2023,14,3265.091305
702,1/30/2023,15,4036.656692
703,1/30/2023,16,3044.294588
704,1/30/2023,17,3295.67384
705,1/30/2023,18,2023.595497
706,1/30/2023,19,2538.288012
707,1/30/2023,20,2452.216205
708,1/30/2023,21,1234.267096
709,1/30/2023,22,1912.49924
710,1/30/2023,23,2707.112036
711,1/30/2023,24,2515.63688
712,1/31/2023,1,1094.290534
713,1/31/2023,2,1692.218219
714,1/31/2023,3,3179.070199
715,1/31/2023,4,15.34627914
716,1/31/2023,5,1625.445613
717,1/31/2023,6,1000.760245
718,1/31/2023,7,1723.044224
719,1/31/2023,8,1637.747092
720,1/31/2023,9,158.3922298
721,1/31/2023,10,122.4355498
722,1/31/2023,11,1345.687311
723,1/31/2023,12,-751.1664284
724,1/31/2023,14,889.2333502
725,1/31/2023,15,1244.521877
726,1/31/2023,16,1355.147665
727,1/31/2023,17,-474.1215438
728,1/31/2023,18,265.1963336
729,1/31/2023,19,615.7817673
730,1/31/2023,20,1329.605484
731,1/31/2023,21,-338.5539403
732,1/31/2023,22,752.7424993
733,1/31/2023,23,1125.456263
734,1/31/2023,24,-216.1198279
735,2/1/2023,1,1611.604389
736,2/1/2023,2,680.0565908
737,2/1/2023,3,1474.317575
738,2/1/2023,4,2149.723874
739,2/1/2023,5,2080.718823
740,2/1/2023,6,1375.162005
741,2/1/2023,7,2135.230023
742,2/1/2023,8,1537.016444
743,2/1/2023,9,2317.409909
744,2/1/2023,10,1972.178848
745,2/1/2023,11,1620.13157
746,2/1/2023,12,2253.866666
747,2/1/2023,13,1358.033989
748,2/1/2023,14,1594.092245
749,2/1/2023,15,905.1414108
750,2/1/2023,16,1644.931051
751,2/1/2023,17,2203.783292
752,2/1/2023,18,2495.922953
753,2/1/2023,19,2028.454207
754,2/1/2023,20,3053.955285
755,2/1/2023,21,4355.679433
756,2/1/2023,22,3122.320126
757,2/1/2023,23,4982.394643
758,2/1/2023,24,5026.015891
759,2/2/2023,1,4391.55926
760,2/2/2023,2,4774.195878
761,2/2/2023,3,5963.371485
762,2/2/2023,4,4836.178679
763,2/2/2023,5,4269.489712
764,2/2/2023,6,5487.326005
765,2/2/2023,7,4473.073752
766,2/2/2023,8,6694.882444
767,2/2/2023,9,5969.836231
768,2/2/2023,10,3909.361495
769,2/2/2023,11,3852.340133
770,2/2/2023,12,4715.130684
771,2/2/2023,13,4009.723933
772,2/2/2023,14,4461.641969
773,2/2/2023,15,6445.152161
774,2/2/2023,16,6401.101639
775,2/2/2023,17,7418.852581
776,2/2/2023,18,7385.148648
777,2/2/2023,19,6585.339573
778,2/2/2023,20,7841.650293
779,2/2/2023,21,9140.556097
780,2/2/2023,22,9878.245455
781,2/2/2023,23,9319.445254
782,2/2/2023,24,9237.122192
783,2/3/2023,1,6446.353933
784,2/3/2023,2,8591.801874
785,2/3/2023,3,8589.398527
786,2/3/2023,4,8256.354955
787,2/3/2023,5,6477.300334
788,2/3/2023,6,5641.065576
789,2/3/2023,7,4382.58871
790,2/3/2023,8,3247.294674
791,2/3/2023,9,4123.330942
792,2/3/2023,10,4602.678114
793,2/3/2023,11,3738.459097
794,2/3/2023,12,3763.149393
795,2/3/2023,13,2521.873359
796,2/3/2023,14,1865.329189
797,2/3/2023,15,2484.431058
798,2/3/2023,16,2349.658829
799,2/3/2023,17,1765.594548
800,2/3/2023,18,1794.718546
801,2/3/2023,19,1801.706458
802,2/3/2023,20,2332.346006
803,2/3/2023,21,2323.173008
804,2/3/2023,22,2146.529504
805,2/3/2023,23,1592.370034
806,2/3/2023,24,1850.864805
807,2/4/2023,1,3051.006427
808,2/4/2023,2,3671.820637
809,2/4/2023,3,4812.719334
810,2/4/2023,4,5466.822909
811,2/4/2023,5,5379.532458
812,2/4/2023,6,5163.605581
813,2/4/2023,7,4213.977574
814,2/4/2023,8,5927.39866
815,2/4/2023,9,4974.40329
816,2/4/2023,10,4627.729807
817,2/4/2023,11,6007.701496
818,2/4/2023,12,6764.096893
819,2/4/2023,13,7414.509418
